tool_id,tool_title,paper_title,pubmed_url
879475e6-c021-49f9-be1e-c0dc7e73ed99,"Hot Bath Therapy","[Study on drug properties of Arisaematis Rhizoma and Arisaema Cum Bile based on substance and energy metabolism in normal and cold/heat syndrome model rats].",https://pubmed.ncbi.nlm.nih.gov/36164875/
d3da8e63-05bb-4ad2-b236-5019aa4ea8ab,"Personalized Caffeine Dosing","International society of sports nutrition position stand: energy drinks and energy shots.",https://pubmed.ncbi.nlm.nih.gov/36862943/
624c1e30-d1da-49d4-955b-c58dd8a52377,"Strategic Caffeine Timing","International society of sports nutrition position stand: tactical athlete nutrition.",https://pubmed.ncbi.nlm.nih.gov/35813846/
61875527-c527-4e95-9766-4374822aae5b,"Optimize Workspace Lighting","The vision of dreams: from ontogeny to dream engineering in blindness.",https://pubmed.ncbi.nlm.nih.gov/35499135/
b6f2db01-9c1f-41d5-b910-f3091eaedc8c,"Alpha-GPC for Acetylcholine","Enzymatic preparation of food-grade l-α-glycerylphosphorylcholine from soy phosphatidylcholine or fractionated soy lecithin.",https://pubmed.ncbi.nlm.nih.gov/31513729/
4ad98769-7969-49f6-993f-9ca3954751ca,"Tryptophan for Serotonin Balance","[Egg components involved in cognitive function].",https://pubmed.ncbi.nlm.nih.gov/39279756/
5f704896-bf3d-46b4-97af-23fa3826ad98,"Dim Evening Lighting","Evening wear of blue-blocking glasses for sleep and mood disorders: a systematic review.",https://pubmed.ncbi.nlm.nih.gov/34030534/
796b250f-a1ac-48aa-9637-7700ba6d905c,"Screen Time Minimization","Digital Eye Strain- A Comprehensive Review.",https://pubmed.ncbi.nlm.nih.gov/35809192/
57eb370e-1451-419a-bf36-7885ffbf0f32,"Phosphatidylserine for Cortisol Control","Cutaneous Permeation of a Percutaneously Applied Glucocorticoid Using Plant-Based Anionic Phospholipids in Hydrogenated Vegetable Oil: A Preliminary Study.",https://pubmed.ncbi.nlm.nih.gov/36295495/
b3527d26-d098-4ee0-bf70-18b809c5268f,"Morning Sunlight Viewing","Chronobiology and chronotherapy in medicine.",https://pubmed.ncbi.nlm.nih.gov/7628291/
880dce09-b88d-463f-9d6f-e982ff700c9d,"Evening Light Dimming","A randomized controlled trial to assess if changing sleep timing can improve glucose metabolism in people with prediabetes and type 2 diabetes.",https://pubmed.ncbi.nlm.nih.gov/38997765/
2b11da60-eb11-4d55-b57d-4f51004fd49e,"Red Light Protocol","Recovery Methods in Basketball: A Systematic Review.",https://pubmed.ncbi.nlm.nih.gov/37999447/
efa148b7-8894-4afe-a7ed-777c93c212e2,"Personalized Caffeine Dosing","International society of sports nutrition position stand: energy drinks and energy shots.",https://pubmed.ncbi.nlm.nih.gov/36862943/
a36e7465-f306-4a8c-a0ff-edd3200c25a1,"Strategic Caffeine Timing","International society of sports nutrition position stand: tactical athlete nutrition.",https://pubmed.ncbi.nlm.nih.gov/35813846/
0e2a902e-73b3-418f-8f72-13d946d85c5d,"Strategic Caffeine Use","International society of sports nutrition position stand: tactical athlete nutrition.",https://pubmed.ncbi.nlm.nih.gov/35813846/
492728bd-abc9-4682-8334-3f1724159ed3,"Strategic Caffeine Use","International society of sports nutrition position stand: tactical athlete nutrition.",https://pubmed.ncbi.nlm.nih.gov/35813846/
c3c757a4-d8a1-4a5b-bb54-d37858bd44aa,"Priority Goal Selection","Evaluation of a large-scale weight management program using the consolidated framework for implementation research (CFIR).",https://pubmed.ncbi.nlm.nih.gov/23663819/
cac58f3e-74ee-431e-8a43-53110e6efa5b,"Lofty Goal Setting","Turning great strategy into great performance.",https://pubmed.ncbi.nlm.nih.gov/16028817/
aebe8663-6766-4bd4-bb4d-f919131324c5,"Specific Action Step Definition","25th Annual Computational Neuroscience Meeting: CNS-2016.",https://pubmed.ncbi.nlm.nih.gov/27534393/
8165a306-42d3-421c-8769-01f25002aa99,"Magnesium for Stress Relief","The Role of Lifestyle and Diet in the Treatment of Endometriosis: A Review.",https://pubmed.ncbi.nlm.nih.gov/41515258/
b3624558-3d08-4a43-b439-2d2ab1a1d278,"Regular Blood Level Monitoring","Immune Thrombotic Thrombocytopenic Purpura: A Review.",https://pubmed.ncbi.nlm.nih.gov/40388146/
e314eb3a-3620-4fef-b25c-8f476cd375e7,"Evening Carbohydrate Timing","Effects of Shift Work on the Eating Behavior of Police Officers on Patrol.",https://pubmed.ncbi.nlm.nih.gov/32260404/
602043ba-ae23-4ac3-898e-1b511b55ff5d,"Mindful Eating Practices","Self-Care in Nurses.",https://pubmed.ncbi.nlm.nih.gov/35431686/
9f343699-58de-4b7a-8a42-724feeee1c80,"Limit Alcohol and Excessive Caffeine","COL1A1- and COL1A2-Related Osteogenesis Imperfecta.",https://pubmed.ncbi.nlm.nih.gov/20301472/
b86bc367-68f5-4421-85f5-5434f36398ce,"Visual Target Focusing","The emerging field of non-invasive brain stimulation in Alzheimer's disease.",https://pubmed.ncbi.nlm.nih.gov/39562009/
5fa19535-f019-4c8d-9ff7-3b013242fb0e,"Ultradian Cycle Work Sessions","Sleepy Psychotherapists: How Clinicians' Biological Factors May Affect the Conduct of Psychotherapy.",https://pubmed.ncbi.nlm.nih.gov/33715396/
d0e8059b-965f-4f8c-afa0-93b31510ed8f,"Fasted Cold Exposure","Intermittent living; the use of ancient challenges as a vaccine against the deleterious effects of modern life - A hypothesis.",https://pubmed.ncbi.nlm.nih.gov/30220336/
6d2b1df8-0f44-44b0-9948-1c45a7162014,"Optimize Lighting Position","Recommendations for daytime, evening, and nighttime indoor light exposure to best support physiology, sleep, and wakefulness in healthy adults.",https://pubmed.ncbi.nlm.nih.gov/35298459/
67540039-26cd-4b0e-ae4f-b89cbae4ed95,"Manage Caffeine Timing","International society of sports nutrition position stand: nutritional concerns of the female athlete.",https://pubmed.ncbi.nlm.nih.gov/37221858/
10b7a966-aa7d-4c75-ace5-44af73e8e4e7,"Avoid Alcohol During Stress","Proceedings of the 3rd IPLeiria's International Health Congress : Leiria, Portugal. 6-7 May 2016.",https://pubmed.ncbi.nlm.nih.gov/27409075/
3e675a7d-e48e-4a07-b2f0-731abdf9e47e,"Consistent Early Bedtime","Screen time and sleep among school-aged children and adolescents: a systematic literature review.",https://pubmed.ncbi.nlm.nih.gov/25193149/
5c350702-9ad9-439b-b1ee-39a26f365e97,"Temperature Drop Protocol","A post-exercise infrared sauna session improves recovery of neuromuscular performance and muscle soreness after resistance exercise training.",https://pubmed.ncbi.nlm.nih.gov/37398966/
9514f166-5e21-436b-a0c2-07b939f682a1,"Visual Target Concentration","Intravenous versus inhalational maintenance of anaesthesia for postoperative cognitive outcomes in elderly people undergoing non-cardiac surgery.",https://pubmed.ncbi.nlm.nih.gov/30129968/
4687b361-8ab5-44c4-b725-88476dd971bd,"Phone Elimination","Building Programs to Eradicate Toxoplasmosis Part I: Introduction and Overview.",https://pubmed.ncbi.nlm.nih.gov/36034212/
1cae93d8-2403-46ae-9628-086bff64688a,"EMDR Protocol Practice","Early psychological interventions for prevention and treatment of post-traumatic stress disorder (PTSD) and post-traumatic stress symptoms in post-partum women: A systematic review and meta-analysis.",https://pubmed.ncbi.nlm.nih.gov/34818326/
97182483-dfc4-42a1-96f3-9d8923a10e21,"Targeted Supplement Support","The relationship between social support and mental health problems during pregnancy: a systematic review and meta-analysis.",https://pubmed.ncbi.nlm.nih.gov/34321040/
cbb71999-b4dd-458e-b197-eaee83589063,"Avoid Dopamine Stacking","Faith, fasting, and well-being: Emirates Neurology Society consensus guidelines on safe Ramadan fasting in Parkinson's disease.",https://pubmed.ncbi.nlm.nih.gov/41458120/
1e6cb36e-27d3-41da-8061-ef00203e5359,"Visual Target Focus Practice","Investigating acceptability of a training programme in precision medicine for frontline healthcare professionals: a mixed methods study.",https://pubmed.ncbi.nlm.nih.gov/35850770/
8fbb0bc2-ab74-45d4-8fc6-521896fe8470,"Phone Elimination During Work","Building Programs to Eradicate Toxoplasmosis Part I: Introduction and Overview.",https://pubmed.ncbi.nlm.nih.gov/36034212/
b3be47fb-011d-4586-9e42-e02df3e64647,"Strategic Caffeine for Alertness","Fatigue on the flight deck: the consequences of sleep loss and the benefits of napping.",https://pubmed.ncbi.nlm.nih.gov/24215936/
ce3ffeed-8d65-459f-a839-e1d1af590636,"Amino Acid Timing for Neurotransmitter Balance","Neonatal maternal separation delays the GABA excitatory-to-inhibitory functional switch by inhibiting KCC2 expression.",https://pubmed.ncbi.nlm.nih.gov/28962859/
16bc073d-f04e-4577-a8d9-2ca3dc82920d,"Nasal Breathing Practice","36th International Symposium on Intensive Care and Emergency Medicine : Brussels, Belgium. 15-18 March 2016.",https://pubmed.ncbi.nlm.nih.gov/27885969/
4e1528cd-90e7-44f0-a9fa-506a64bc69b4,"Light Exposure Timing","Circadian rhythms and disorders of the timing of sleep.",https://pubmed.ncbi.nlm.nih.gov/36115370/
9a6169e3-ded0-402c-8dd4-b659ea164f20,"Light Exposure Timing","Circadian rhythms and disorders of the timing of sleep.",https://pubmed.ncbi.nlm.nih.gov/36115370/
9555bcf6-10d6-4eeb-8857-be7c719901cd,"Deliberate Defocusing","Creativity related cortex activity in the remote associates task.",https://pubmed.ncbi.nlm.nih.gov/17499642/
09f57b4c-7028-4b39-91a4-3019d0da245c,"Phosphatidylserine for Cortisol","Nutritional and botanical interventions to assist with the adaptation to stress.",https://pubmed.ncbi.nlm.nih.gov/10468649/
8356e86e-130b-41c0-9565-1c5b3bf5733e,"Magnesium Sleep Stack","The systematic classification of urinary stones combine-using FTIR and SEM-EDAX.",https://pubmed.ncbi.nlm.nih.gov/28373152/
5d7d3271-5fa6-4fb7-9bbb-09de94dc07f6,"Inositol","Lifestyle management in polycystic ovary syndrome - beyond diet and physical activity.",https://pubmed.ncbi.nlm.nih.gov/36647089/
8b1cf259-4295-4d19-898f-cdc105d8140a,"Cool Sleep Environment","Preoptic EP3R neurons constitute a two-way switch for fever and torpor.",https://pubmed.ncbi.nlm.nih.gov/40437091/
18d2dde6-c9e5-4bec-87d8-d98d9a01ee89,"Evening Light Dimming","A randomized controlled trial to assess if changing sleep timing can improve glucose metabolism in people with prediabetes and type 2 diabetes.",https://pubmed.ncbi.nlm.nih.gov/38997765/
028fb2cd-9294-456b-b897-50f656b96033,"Temperature Optimization","International society of sports nutrition position stand: caffeine and exercise performance.",https://pubmed.ncbi.nlm.nih.gov/33388079/
30d60cba-0fab-4049-b93e-8c4baa961eeb,"Cool Sleep Environment","Preoptic EP3R neurons constitute a two-way switch for fever and torpor.",https://pubmed.ncbi.nlm.nih.gov/40437091/
cd3364a0-db44-4a3e-8aa6-8beb166bf84f,"Evening Light Dimming","A randomized controlled trial to assess if changing sleep timing can improve glucose metabolism in people with prediabetes and type 2 diabetes.",https://pubmed.ncbi.nlm.nih.gov/38997765/
c72e8acc-bf73-4db0-ae90-a63bb1977a9c,"Hormone Replacement Therapy (HRT) Consultation","Congenital adrenal hyperplasia.",https://pubmed.ncbi.nlm.nih.gov/36502822/
f44c232d-2aa3-497a-8f39-bf45e54ef36b,"Enhanced Cooling Strategies","Major advances associated with environmental effects on dairy cattle.",https://pubmed.ncbi.nlm.nih.gov/16537957/
6920e76e-4c5d-489f-96da-c0dc02b2b184,"Daily Caffeine Timing","International society of sports nutrition position stand: tactical athlete nutrition.",https://pubmed.ncbi.nlm.nih.gov/35813846/
73d397c3-acb4-4f57-9364-8c52de255370,"Avoid Dopamine Stacking","Faith, fasting, and well-being: Emirates Neurology Society consensus guidelines on safe Ramadan fasting in Parkinson's disease.",https://pubmed.ncbi.nlm.nih.gov/41458120/
3fc2215a-3743-4a60-9489-d0979b1e87d4,"Visual Focus Training","Patient education and health literacy.",https://pubmed.ncbi.nlm.nih.gov/30017902/
c8e0899e-6948-4632-aa86-ce5b2dc263d1,"Incremental Learning Approach","Proceedings of the 3rd IPLeiria's International Health Congress : Leiria, Portugal. 6-7 May 2016.",https://pubmed.ncbi.nlm.nih.gov/27409075/
3250b16b-521c-4159-958a-0a99aca7bd02,"Progressive Cold Adaptation","Epigenetic control of abiotic stress signaling in plants.",https://pubmed.ncbi.nlm.nih.gov/34515950/
1c3f5718-f286-4352-8295-06ecd86a97dd,"Fasted Cold Exposure","Intermittent living; the use of ancient challenges as a vaccine against the deleterious effects of modern life - A hypothesis.",https://pubmed.ncbi.nlm.nih.gov/30220336/
e10471fa-e9fd-459e-b0f1-63173a70bc49,"Evening Light Dimming","A randomized controlled trial to assess if changing sleep timing can improve glucose metabolism in people with prediabetes and type 2 diabetes.",https://pubmed.ncbi.nlm.nih.gov/38997765/
4c5c6bce-004d-4f1d-907a-b41fa74bf827,"Phone Elimination During Work","Building Programs to Eradicate Toxoplasmosis Part I: Introduction and Overview.",https://pubmed.ncbi.nlm.nih.gov/36034212/
13aa2fe7-8c39-4fe6-878a-907cdbb75f5a,"Morning Cortisol Monitoring","A standardized Ashwagandha root extract alleviates stress, anxiety, and improves quality of life in healthy adults by modulating stress hormones: Results from a randomized, double-blind, placebo-controlled study.",https://pubmed.ncbi.nlm.nih.gov/37832082/
ae39710e-e9e9-45b1-b2dd-dbf3fa3a0160,"Visual Target Focus","Neurophysiology of ACL Injury.",https://pubmed.ncbi.nlm.nih.gov/39980496/
ad6461d4-0eb5-4566-afc2-54104d870ff2,"Strategic Sun Exposure","Building the Environmental Chemical-Protein Interaction Network (eCPIN): An Exposome-Wide Strategy for Bioactive Chemical Contaminant Identification.",https://pubmed.ncbi.nlm.nih.gov/36827403/